GRE Score,TOEFL Score,CGPA,University Rating,Chance of Admit 
326,108,8.89,3,0.8
312,109,8.69,3,0.77
315,105,8.34,3,0.7
309,104,8.26,2,0.65
306,106,8.14,2,0.61
297,100,7.9,1,0.52
315,103,7.86,1,0.57
298,99,7.46,1,0.53
318,109,8.5,3,0.67
317,105,8.56,3,0.68
329,111,9.01,4,0.81
322,110,8.97,5,0.78
302,102,8.33,3,0.65
313,102,8.27,3,0.64
293,97,7.8,2,0.64
311,99,7.98,2,0.65
312,101,8.04,2,0.68
334,117,9.07,5,0.89
322,110,9.13,4,0.86
323,113,9.23,4,0.89
321,111,8.97,4,0.87
320,111,8.87,4,0.85
329,119,9.16,4,0.9
319,110,9.04,3,0.82
309,108,8.12,3,0.72
307,102,8.27,3,0.73
300,104,8.16,3,0.71
305,107,8.42,2,0.71
299,100,7.88,2,0.68
314,110,8.8,3,0.75
316,106,8.32,2,0.72
327,113,9.11,4,0.89
317,107,8.68,3,0.84
335,118,9.44,5,0.93
331,115,9.36,5,0.93
324,112,9.08,5,0.88
324,111,9.16,5,0.9
323,110,8.98,5,0.87
322,114,8.94,5,0.86
336,118,9.53,5,0.94
316,109,8.76,3,0.77
307,107,8.52,2,0.78
306,105,8.26,2,0.73
310,106,8.33,2,0.73
311,104,8.43,3,0.7
313,107,8.69,3,0.72
317,103,8.54,3,0.73
315,110,8.46,2,0.72
340,120,9.91,5,0.97
334,120,9.87,5,0.97
298,105,8.54,3,0.69
295,99,7.65,2,0.57
315,99,7.89,2,0.63
310,102,8.02,3,0.66
305,106,8.16,2,0.64
301,104,8.12,3,0.68
325,108,9.06,4,0.79
328,110,9.14,4,0.82
338,120,9.66,4,0.95
333,119,9.78,5,0.96
331,117,9.42,4,0.94
330,116,9.36,5,0.93
322,112,9.26,4,0.91
321,109,9.13,4,0.85
324,110,8.97,4,0.84
312,104,8.42,3,0.74
313,103,8.75,3,0.76
316,110,8.56,3,0.75
324,113,8.79,4,0.76
308,109,8.45,2,0.71
305,105,8.23,2,0.67
296,99,8.03,2,0.61
306,110,8.45,2,0.63
312,110,8.53,2,0.64
318,112,8.67,3,0.71
324,111,9.01,4,0.82
313,104,8.65,3,0.73
319,106,8.33,3,0.74
312,107,8.27,2,0.69
304,100,8.07,2,0.64
330,113,9.31,5,0.91
326,111,9.23,5,0.88
325,112,9.17,4,0.85
329,114,9.19,5,0.86
310,104,8.37,3,0.7
299,100,7.89,1,0.59
296,101,7.68,1,0.6
317,103,8.15,2,0.65
324,115,8.76,3,0.7
325,114,9.04,3,0.76
314,107,8.56,2,0.63
328,110,9.02,4,0.81
316,105,8.73,3,0.72
311,104,8.48,2,0.71
324,110,8.87,3,0.8
321,111,8.83,3,0.77
320,104,8.57,3,0.74
316,99,9,2,0.7
318,100,8.54,2,0.71
335,115,9.68,4,0.93
321,114,9.12,4,0.85
307,110,8.37,4,0.79
309,99,8.56,3,0.76
324,100,8.64,3,0.78
326,102,8.76,4,0.77
331,119,9.34,4,0.9
327,108,9.13,5,0.87
312,104,8.09,3,0.71
308,103,8.36,2,0.7
324,111,8.79,3,0.7
325,110,8.76,2,0.75
313,102,8.68,3,0.71
312,105,8.45,2,0.72
314,107,8.17,3,0.73
327,113,9.14,4,0.83
308,108,8.34,4,0.77
306,105,8.22,2,0.72
299,96,7.86,2,0.54
294,95,7.64,1,0.49
312,99,8.01,1,0.52
315,100,7.95,1,0.58
322,110,8.96,3,0.78
329,113,9.45,5,0.89
320,101,8.62,2,0.7
308,103,8.49,2,0.66
304,102,8.73,2,0.67
311,102,8.64,3,0.68
317,110,9.11,3,0.8
312,106,8.79,3,0.81
321,111,8.9,3,0.8
340,112,9.66,4,0.94
331,116,9.26,5,0.93
336,118,9.19,5,0.92
324,114,9.08,5,0.89
314,104,9.02,4,0.82
313,109,9,3,0.79
307,105,7.65,2,0.58
300,102,7.87,2,0.56
302,99,7.97,2,0.56
312,98,8.18,1,0.64
316,101,8.32,2,0.61
317,100,8.57,2,0.68
310,107,8.67,3,0.76
320,120,9.11,3,0.86
330,114,9.24,3,0.9
305,112,8.65,3,0.71
309,106,8,2,0.62
319,108,8.76,2,0.66
322,105,8.45,2,0.65
323,107,8.55,3,0.73
313,106,8.43,2,0.62
321,109,8.8,3,0.74
323,110,9.1,3,0.79
325,112,9,4,0.8
312,108,8.53,3,0.69
308,110,8.6,4,0.7
320,104,8.74,3,0.76
328,108,9.18,4,0.84
311,107,9,4,0.78
301,100,8.04,3,0.67
305,105,8.13,2,0.66
308,104,8.07,2,0.65
298,101,7.86,2,0.54
300,99,8.01,1,0.58
324,111,8.8,3,0.79
327,113,8.69,4,0.8
317,106,8.5,3,0.75
323,104,8.44,3,0.73
314,107,8.27,2,0.72
305,102,8.18,2,0.62
315,104,8.33,3,0.67
326,116,9.14,3,0.81
299,100,8.02,3,0.63
295,101,7.86,2,0.69
324,112,8.77,4,0.8
297,96,7.89,2,0.43
327,113,8.66,3,0.8
311,105,8.12,2,0.73
308,106,8.21,3,0.75
319,108,8.54,3,0.71
312,107,8.65,4,0.73
325,111,9.11,4,0.83
319,110,8.79,3,0.72
332,118,9.47,5,0.94
323,108,8.74,5,0.81
324,107,8.66,5,0.81
312,107,8.46,3,0.75
326,110,8.76,3,0.79
308,106,8.24,3,0.58
305,103,8.13,2,0.59
295,96,7.34,2,0.47
316,98,7.43,1,0.49
304,97,7.64,2,0.47
299,94,7.34,1,0.42
302,99,7.25,1,0.57
313,101,8.04,3,0.62
318,107,8.27,3,0.74
325,110,8.67,4,0.73
303,100,8.06,2,0.64
300,102,8.17,3,0.63
297,98,7.67,2,0.59
317,106,8.12,2,0.73
327,109,8.77,3,0.79
301,104,7.89,2,0.68
314,105,7.64,2,0.7
321,107,8.44,2,0.81
322,110,8.64,3,0.85
334,116,9.54,4,0.93
338,115,9.23,5,0.91
306,103,8.36,2,0.69
313,102,8.9,3,0.77
330,114,9.17,4,0.86
320,104,8.34,3,0.74
311,98,7.46,1,0.57
298,92,7.88,1,0.51
301,98,8.03,1,0.67
310,103,8.24,2,0.72
324,110,9.22,3,0.89
336,119,9.62,4,0.95
321,109,8.54,3,0.79
315,105,7.65,2,0.39
304,101,7.66,2,0.38
297,96,7.43,2,0.34
290,100,7.56,1,0.47
303,98,7.65,1,0.56
311,99,8.43,1,0.71
322,104,8.84,3,0.78
319,105,8.67,3,0.73
324,110,9.15,4,0.82
300,100,8.26,3,0.62
340,113,9.74,4,0.96
335,117,9.82,5,0.96
302,101,7.96,2,0.46
307,105,8.1,2,0.53
296,97,7.8,2,0.49
320,108,8.44,3,0.76
314,102,8.24,2,0.64
318,106,8.65,3,0.71
326,112,9.12,4,0.84
317,104,8.76,2,0.77
329,111,9.23,4,0.89
324,110,9.04,3,0.82
325,107,9.11,3,0.84
330,116,9.45,4,0.91
312,103,8.78,3,0.67
333,117,9.66,4,0.95
304,100,8.22,2,0.63
315,105,8.34,2,0.66
324,109,8.94,3,0.78
330,116,9.23,4,0.91
311,101,7.64,3,0.62
302,99,7.45,3,0.52
322,103,8.02,4,0.61
298,100,7.95,3,0.58
297,101,7.67,3,0.57
300,98,8.02,1,0.61
301,96,7.56,1,0.54
313,94,8.13,2,0.56
314,102,7.88,4,0.59
317,101,7.94,3,0.49
321,110,8.35,4,0.72
327,106,8.75,4,0.76
315,104,8.1,3,0.65
316,103,7.68,3,0.52
309,111,8.03,2,0.6
308,102,7.98,2,0.58
299,100,7.42,3,0.42
321,112,8.95,3,0.77
322,112,9.02,4,0.73
334,119,9.54,5,0.94
325,114,9.46,5,0.91
323,111,9.86,5,0.92
312,106,8.57,3,0.71
310,101,8.65,3,0.71
316,103,8.74,2,0.69
340,115,9.06,5,0.95
311,104,8.13,3,0.74
320,112,8.78,2,0.73
324,112,9.22,4,0.86
316,111,8.54,4,0.71
306,103,8.21,3,0.64
309,105,7.68,2,0.55
310,110,7.23,1,0.58
317,106,7.65,1,0.61
318,110,8.54,1,0.67
312,105,8.46,2,0.66
305,104,7.79,2,0.53
332,112,8.66,1,0.79
331,116,9.44,4,0.92
321,114,9.16,5,0.87
324,113,9.25,5,0.92
328,116,9.08,5,0.91
327,118,9.67,4,0.93
320,108,8.97,3,0.84
312,109,9.02,2,0.8
315,101,9.13,3,0.79
320,112,8.86,4,0.82
324,113,9.25,4,0.89
328,116,9.6,4,0.93
319,103,8.76,3,0.73
310,105,8.01,2,0.71
305,102,7.64,2,0.59
299,100,7.88,2,0.51
295,99,7.57,1,0.37
312,100,8.53,1,0.69
329,113,9.36,4,0.89
319,105,8.66,4,0.77
301,102,8.13,3,0.68
307,105,7.94,4,0.62
304,107,7.86,3,0.57
298,97,7.21,2,0.45
305,96,8.26,4,0.54
314,99,8.73,4,0.71
318,101,8.78,5,0.78
323,110,8.88,4,0.81
326,114,9.16,4,0.86
320,110,9.27,5,0.87
311,103,8.09,3,0.64
327,116,9.48,4,0.9
316,102,8.15,2,0.67
308,105,7.95,4,0.67
300,101,7.88,3,0.59
304,104,8.12,3,0.62
309,105,8.18,4,0.65
318,103,8.49,3,0.71
325,110,8.96,4,0.79
321,102,9.01,3,0.8
323,107,8.48,4,0.78
328,113,8.77,4,0.83
304,103,7.92,5,0.71
317,106,7.89,3,0.73
311,101,8.34,2,0.7
319,102,8.37,3,0.68
327,115,9.14,4,0.79
322,112,8.62,3,0.76
302,110,8.5,3,0.65
307,105,8.12,2,0.67
297,99,7.81,4,0.54
298,101,7.69,4,0.53
300,95,8.22,2,0.62
301,99,8.45,3,0.68
332,108,9.02,5,0.87
337,117,9.87,5,0.96
330,120,9.56,5,0.93
312,103,8.43,4,0.73
327,113,9.04,4,0.84
